,Season,Game,Score,Teams,Home Team,Away Team
6842,2018-2019,1,2-3,Celta - R. Sociedad,Celta,R. Sociedad
6843,2018-2019,1,2-2,Girona - Atlético,Girona,Atlético
6844,2018-2019,1,1-1,Sevilla - Espanyol,Sevilla,Espanyol
6845,2018-2019,1,0-0,Athletic - Getafe,Athletic,Getafe
6846,2018-2019,1,2-0,Barcelona - Real Betis,Barcelona,Real Betis
6847,2018-2019,1,0-3,Deportivo - Real Madrid,Deportivo,Real Madrid
6848,2018-2019,1,1-0,Levante - Villarreal,Levante,Villarreal
6849,2018-2019,1,0-1,Málaga - Eibar,Málaga,Eibar
6850,2018-2019,2,3-0,R. Sociedad - Villarreal,R. Sociedad,Villarreal
6851,2018-2019,2,2-1,Real Betis - Celta,Real Betis,Celta
6852,2018-2019,2,0-2,Alavés - Barcelona,Alavés,Barcelona
6853,2018-2019,2,2-2,Levante - Deportivo,Levante,Deportivo
6854,2018-2019,2,1-0,Girona - Málaga,Girona,Málaga
6855,2018-2019,2,1-5,Las Palmas - Atlético,Las Palmas,Atlético
6856,2018-2019,2,0-1,Eibar - Athletic,Eibar,Athletic
6857,2018-2019,2,0-1,Espanyol - Leganés,Espanyol,Leganés
6858,2018-2019,2,0-1,Getafe - Sevilla,Getafe,Sevilla
6859,2018-2019,2,2-2,Real Madrid - Valencia,Real Madrid,Valencia
6860,2018-2019,3,1-2,Leganés - Getafe,Leganés,Getafe
6861,2018-2019,3,1-1,Real Madrid - Levante,Real Madrid,Levante
6862,2018-2019,3,0-0,Valencia - Atlético,Valencia,Atlético
6863,2018-2019,3,3-0,Sevilla - Eibar,Sevilla,Eibar
6864,2018-2019,3,5-0,Barcelona - Espanyol,Barcelona,Espanyol
6865,2018-2019,3,2-4,Deportivo - R. Sociedad,Deportivo,R. Sociedad
6866,2018-2019,3,2-0,Athletic - Girona,Athletic,Girona
6867,2018-2019,3,1-0,Celta - Alavés,Celta,Alavés
6868,2018-2019,3,3-1,Villarreal - Real Betis,Villarreal,Real Betis
6869,2018-2019,3,1-3,Málaga - Las Palmas,Málaga,Las Palmas
6870,2018-2019,4,1-0,Eibar - Leganés,Eibar,Leganés
6871,2018-2019,4,1-1,Levante - Valencia,Levante,Valencia
6872,2018-2019,4,1-2,Getafe - Barcelona,Getafe,Barcelona
6873,2018-2019,4,2-1,Real Betis - Deportivo,Real Betis,Deportivo
6874,2018-2019,4,1-0,Atlético - Málaga,Atlético,Málaga
6875,2018-2019,4,0-3,Alavés - Villarreal,Alavés,Villarreal
6876,2018-2019,4,0-1,Girona - Sevilla,Girona,Sevilla
6877,2018-2019,4,1-0,Las Palmas - Athletic,Las Palmas,Athletic
6878,2018-2019,4,1-3,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
6879,2018-2019,4,2-1,Espanyol - Celta,Espanyol,Celta
6880,2018-2019,5,5-0,Valencia - Málaga,Valencia,Málaga
6881,2018-2019,5,6-1,Barcelona - Eibar,Barcelona,Eibar
6882,2018-2019,5,0-0,Leganés - Girona,Leganés,Girona
6883,2018-2019,5,1-2,Athletic - Atlético,Athletic,Atlético
6884,2018-2019,5,1-0,Deportivo - Alavés,Deportivo,Alavés
6885,2018-2019,5,0-1,Real Madrid - Real Betis,Real Madrid,Real Betis
6886,2018-2019,5,1-0,Sevilla - Las Palmas,Sevilla,Las Palmas
6887,2018-2019,5,0-0,Villarreal - Espanyol,Villarreal,Espanyol
6888,2018-2019,5,1-1,Celta - Getafe,Celta,Getafe
6889,2018-2019,5,3-0,Levante - R. Sociedad,Levante,R. Sociedad
6890,2018-2019,6,2-0,Atlético - Sevilla,Atlético,Sevilla
6891,2018-2019,6,1-2,Alavés - Real Madrid,Alavés,Real Madrid
6892,2018-2019,6,3-3,Málaga - Athletic,Málaga,Athletic
6893,2018-2019,6,0-3,Girona - Barcelona,Girona,Barcelona
6894,2018-2019,6,4-1,Espanyol - Deportivo,Espanyol,Deportivo
6895,2018-2019,6,4-0,Getafe - Villarreal,Getafe,Villarreal
6896,2018-2019,6,0-2,Las Palmas - Leganés,Las Palmas,Leganés
6897,2018-2019,6,0-4,Eibar - Celta,Eibar,Celta
6898,2018-2019,6,2-3,R. Sociedad - Valencia,R. Sociedad,Valencia
6899,2018-2019,6,4-0,Real Betis - Levante,Real Betis,Levante
6900,2018-2019,7,3-3,Celta - Girona,Celta,Girona
6901,2018-2019,7,2-1,Deportivo - Getafe,Deportivo,Getafe
6902,2018-2019,7,2-0,Sevilla - Málaga,Sevilla,Málaga
6903,2018-2019,7,0-2,Levante - Alavés,Levante,Alavés
6904,2018-2019,7,0-0,Leganés - Atlético,Leganés,Atlético
6905,2018-2019,7,4-4,R. Sociedad - Real Betis,R. Sociedad,Real Betis
6906,2018-2019,7,3-0,Barcelona - Las Palmas,Barcelona,Las Palmas
6907,2018-2019,7,3-0,Villarreal - Eibar,Villarreal,Eibar
6908,2018-2019,7,3-2,Valencia - Athletic,Valencia,Athletic
6909,2018-2019,7,2-0,Real Madrid - Espanyol,Real Madrid,Espanyol
6910,2018-2019,8,0-0,Espanyol - Levante,Espanyol,Levante
6911,2018-2019,8,1-0,Athletic - Sevilla,Athletic,Sevilla
6912,2018-2019,8,1-2,Getafe - Real Madrid,Getafe,Real Madrid
6913,2018-2019,8,0-2,Alavés - R. Sociedad,Alavés,R. Sociedad
6914,2018-2019,8,1-1,Atlético - Barcelona,Atlético,Barcelona
6915,2018-2019,8,0-0,Eibar - Deportivo,Eibar,Deportivo
6916,2018-2019,8,1-2,Girona - Villarreal,Girona,Villarreal
6917,2018-2019,8,0-2,Málaga - Leganés,Málaga,Leganés
6918,2018-2019,8,3-6,Real Betis - Valencia,Real Betis,Valencia
6919,2018-2019,8,2-5,Las Palmas - Celta,Las Palmas,Celta
6920,2018-2019,9,1-1,Levante - Getafe,Levante,Getafe
6921,2018-2019,9,2-0,Real Betis - Alavés,Real Betis,Alavés
6922,2018-2019,9,4-0,Valencia - Sevilla,Valencia,Sevilla
6923,2018-2019,9,2-0,Barcelona - Málaga,Barcelona,Málaga
6924,2018-2019,9,4-0,Villarreal - Las Palmas,Villarreal,Las Palmas
6925,2018-2019,9,0-1,Celta - Atlético,Celta,Atlético
6926,2018-2019,9,1-0,Leganés - Athletic,Leganés,Athletic
6927,2018-2019,9,3-0,Real Madrid - Eibar,Real Madrid,Eibar
6928,2018-2019,9,1-1,R. Sociedad - Espanyol,R. Sociedad,Espanyol
6929,2018-2019,9,1-2,Deportivo - Girona,Deportivo,Girona
6930,2018-2019,10,1-2,Alavés - Valencia,Alavés,Valencia
6931,2018-2019,10,1-1,Atlético - Villarreal,Atlético,Villarreal
6932,2018-2019,10,0-2,Athletic - Barcelona,Athletic,Barcelona
6933,2018-2019,10,2-1,Sevilla - Leganés,Sevilla,Leganés
6934,2018-2019,10,2-1,Getafe - R. Sociedad,Getafe,R. Sociedad
6935,2018-2019,10,2-1,Girona - Real Madrid,Girona,Real Madrid
6936,2018-2019,10,2-2,Eibar - Levante,Eibar,Levante
6937,2018-2019,10,2-1,Málaga - Celta,Málaga,Celta
6938,2018-2019,10,1-0,Espanyol - Real Betis,Espanyol,Real Betis
6939,2018-2019,10,1-3,Las Palmas - Deportivo,Las Palmas,Deportivo
6940,2018-2019,11,2-2,Real Betis - Getafe,Real Betis,Getafe
6941,2018-2019,11,3-0,Valencia - Leganés,Valencia,Leganés
6942,2018-2019,11,0-1,Deportivo - Atlético,Deportivo,Atlético
6943,2018-2019,11,1-0,Alavés - Espanyol,Alavés,Espanyol
6944,2018-2019,11,2-1,Barcelona - Sevilla,Barcelona,Sevilla
6945,2018-2019,11,1-2,Levante - Girona,Levante,Girona
6946,2018-2019,11,3-1,Celta - Athletic,Celta,Athletic
6947,2018-2019,11,3-1,R. Sociedad - Eibar,R. Sociedad,Eibar
6948,2018-2019,11,2-0,Villarreal - Málaga,Villarreal,Málaga
6949,2018-2019,11,3-0,Real Madrid - Las Palmas,Real Madrid,Las Palmas
6950,2018-2019,12,1-1,Girona - R. Sociedad,Girona,R. Sociedad
6951,2018-2019,12,4-1,Getafe - Alavés,Getafe,Alavés
6952,2018-2019,12,0-3,Leganés - Barcelona,Leganés,Barcelona
6953,2018-2019,12,2-1,Sevilla - Celta,Sevilla,Celta
6954,2018-2019,12,0-0,Atlético - Real Madrid,Atlético,Real Madrid
6955,2018-2019,12,3-2,Málaga - Deportivo,Málaga,Deportivo
6956,2018-2019,12,0-2,Espanyol - Valencia,Espanyol,Valencia
6957,2018-2019,12,0-2,Las Palmas - Levante,Las Palmas,Levante
6958,2018-2019,12,1-1,Athletic - Villarreal,Athletic,Villarreal
6959,2018-2019,12,5-0,Eibar - Real Betis,Eibar,Real Betis
6960,2018-2019,13,1-0,Celta - Leganés,Celta,Leganés
6961,2018-2019,13,1-2,Alavés - Eibar,Alavés,Eibar
6962,2018-2019,13,3-2,Real Madrid - Málaga,Real Madrid,Málaga
6963,2018-2019,13,2-2,Real Betis - Girona,Real Betis,Girona
6964,2018-2019,13,0-5,Levante - Atlético,Levante,Atlético
6965,2018-2019,13,2-2,Deportivo - Athletic,Deportivo,Athletic
6966,2018-2019,13,2-2,R. Sociedad - Las Palmas,R. Sociedad,Las Palmas
6967,2018-2019,13,2-3,Villarreal - Sevilla,Villarreal,Sevilla
6968,2018-2019,13,1-1,Valencia - Barcelona,Valencia,Barcelona
6969,2018-2019,13,1-0,Espanyol - Getafe,Espanyol,Getafe
6970,2018-2019,14,0-0,Málaga - Levante,Málaga,Levante
6971,2018-2019,14,2-2,Barcelona - Celta,Barcelona,Celta
6972,2018-2019,14,2-1,Atlético - R. Sociedad,Atlético,R. Sociedad
6973,2018-2019,14,2-0,Sevilla - Deportivo,Sevilla,Deportivo
6974,2018-2019,14,0-0,Athletic - Real Madrid,Athletic,Real Madrid
6975,2018-2019,14,3-1,Leganés - Villarreal,Leganés,Villarreal
6976,2018-2019,14,1-0,Getafe - Valencia,Getafe,Valencia
6977,2018-2019,14,3-1,Eibar - Espanyol,Eibar,Espanyol
6978,2018-2019,14,1-0,Las Palmas - Real Betis,Las Palmas,Real Betis
6979,2018-2019,14,2-3,Girona - Alavés,Girona,Alavés
6980,2018-2019,15,2-0,Alavés - Las Palmas,Alavés,Las Palmas
6981,2018-2019,15,0-0,Getafe - Eibar,Getafe,Eibar
6982,2018-2019,15,5-0,Real Madrid - Sevilla,Real Madrid,Sevilla
6983,2018-2019,15,1-0,Deportivo - Leganés,Deportivo,Leganés
6984,2018-2019,15,2-1,Valencia - Celta,Valencia,Celta
6985,2018-2019,15,0-2,R. Sociedad - Málaga,R. Sociedad,Málaga
6986,2018-2019,15,0-1,Real Betis - Atlético,Real Betis,Atlético
6987,2018-2019,15,1-2,Levante - Athletic,Levante,Athletic
6988,2018-2019,15,0-2,Villarreal - Barcelona,Villarreal,Barcelona
6989,2018-2019,15,0-1,Espanyol - Girona,Espanyol,Girona
6990,2018-2019,16,0-0,Sevilla - Levante,Sevilla,Levante
6991,2018-2019,16,0-0,Athletic - R. Sociedad,Athletic,R. Sociedad
6992,2018-2019,16,2-1,Eibar - Valencia,Eibar,Valencia
6993,2018-2019,16,1-0,Atlético - Alavés,Atlético,Alavés
6994,2018-2019,16,1-0,Girona - Getafe,Girona,Getafe
6995,2018-2019,16,0-1,Celta - Villarreal,Celta,Villarreal
6996,2018-2019,16,2-2,Las Palmas - Espanyol,Las Palmas,Espanyol
6997,2018-2019,16,4-0,Barcelona - Deportivo,Barcelona,Deportivo
6998,2018-2019,16,0-2,Málaga - Real Betis,Málaga,Real Betis
6999,2018-2019,16,1-3,Leganés - Real Madrid,Leganés,Real Madrid
7000,2018-2019,17,0-0,Levante - Leganés,Levante,Leganés
7001,2018-2019,17,2-0,Getafe - Las Palmas,Getafe,Las Palmas
7002,2018-2019,17,3-1,R. Sociedad - Sevilla,R. Sociedad,Sevilla
7003,2018-2019,17,4-1,Eibar - Girona,Eibar,Girona
7004,2018-2019,17,1-0,Alavés - Málaga,Alavés,Málaga
7005,2018-2019,17,0-2,Real Betis - Athletic,Real Betis,Athletic
7006,2018-2019,17,1-0,Espanyol - Atlético,Espanyol,Atlético
7007,2018-2019,17,0-3,Real Madrid - Barcelona,Real Madrid,Barcelona
7008,2018-2019,17,0-1,Valencia - Villarreal,Valencia,Villarreal
7009,2018-2019,17,1-3,Deportivo - Celta,Deportivo,Celta
7010,2018-2019,18,2-0,Atlético - Getafe,Atlético,Getafe
7011,2018-2019,18,2-1,Valencia - Girona,Valencia,Girona
7012,2018-2019,18,1-2,Las Palmas - Eibar,Las Palmas,Eibar
7013,2018-2019,18,3-5,Sevilla - Real Betis,Sevilla,Real Betis
7014,2018-2019,18,1-0,Leganés - R. Sociedad,Leganés,R. Sociedad
7015,2018-2019,18,3-0,Barcelona - Levante,Barcelona,Levante
7016,2018-2019,18,2-0,Athletic - Alavés,Athletic,Alavés
7017,2018-2019,18,1-1,Villarreal - Deportivo,Villarreal,Deportivo
7018,2018-2019,18,2-2,Celta - Real Madrid,Celta,Real Madrid
7019,2018-2019,18,0-1,Málaga - Espanyol,Málaga,Espanyol
7020,2018-2019,19,1-0,Getafe - Málaga,Getafe,Málaga
7021,2018-2019,19,6-0,Girona - Las Palmas,Girona,Las Palmas
7022,2018-2019,19,0-1,Real Madrid - Villarreal,Real Madrid,Villarreal
7023,2018-2019,19,0-1,Eibar - Atlético,Eibar,Atlético
7024,2018-2019,19,1-2,Deportivo - Valencia,Deportivo,Valencia
7025,2018-2019,19,0-1,Levante - Celta,Levante,Celta
7026,2018-2019,19,1-0,Alavés - Sevilla,Alavés,Sevilla
7027,2018-2019,19,1-1,Espanyol - Athletic,Espanyol,Athletic
7028,2018-2019,19,2-4,R. Sociedad - Barcelona,R. Sociedad,Barcelona
7029,2018-2019,19,3-2,Real Betis - Leganés,Real Betis,Leganés
7030,2018-2019,20,2-2,Getafe - Athletic,Getafe,Athletic
7031,2018-2019,20,0-3,Espanyol - Sevilla,Espanyol,Sevilla
7032,2018-2019,20,1-1,Atlético - Girona,Atlético,Girona
7033,2018-2019,20,2-1,Villarreal - Levante,Villarreal,Levante
7034,2018-2019,20,2-1,Las Palmas - Valencia,Las Palmas,Valencia
7035,2018-2019,20,2-2,Alavés - Leganés,Alavés,Leganés
7036,2018-2019,20,7-1,Real Madrid - Deportivo,Real Madrid,Deportivo
7037,2018-2019,20,1-2,R. Sociedad - Celta,R. Sociedad,Celta
7038,2018-2019,20,0-5,Real Betis - Barcelona,Real Betis,Barcelona
7039,2018-2019,20,1-1,Eibar - Málaga,Eibar,Málaga
7040,2018-2019,21,1-1,Athletic - Eibar,Athletic,Eibar
7041,2018-2019,21,2-2,Deportivo - Levante,Deportivo,Levante
7042,2018-2019,21,1-4,Valencia - Real Madrid,Valencia,Real Madrid
7043,2018-2019,21,0-0,Málaga - Girona,Málaga,Girona
7044,2018-2019,21,4-2,Villarreal - R. Sociedad,Villarreal,R. Sociedad
7045,2018-2019,21,3-2,Leganés - Espanyol,Leganés,Espanyol
7046,2018-2019,21,3-0,Atlético - Las Palmas,Atlético,Las Palmas
7047,2018-2019,21,1-1,Sevilla - Getafe,Sevilla,Getafe
7048,2018-2019,21,2-1,Barcelona - Alavés,Barcelona,Alavés
7049,2018-2019,21,3-2,Celta - Real Betis,Celta,Real Betis
7050,2018-2019,22,5-0,R. Sociedad - Deportivo,R. Sociedad,Deportivo
7051,2018-2019,22,5-1,Eibar - Sevilla,Eibar,Sevilla
7052,2018-2019,22,2-1,Real Betis - Villarreal,Real Betis,Villarreal
7053,2018-2019,22,2-1,Alavés - Celta,Alavés,Celta
7054,2018-2019,22,2-2,Levante - Real Madrid,Levante,Real Madrid
7055,2018-2019,22,0-0,Getafe - Leganés,Getafe,Leganés
7056,2018-2019,22,1-1,Espanyol - Barcelona,Espanyol,Barcelona
7057,2018-2019,22,2-0,Girona - Athletic,Girona,Athletic
7058,2018-2019,22,1-0,Atlético - Valencia,Atlético,Valencia
7059,2018-2019,22,1-0,Las Palmas - Málaga,Las Palmas,Málaga
7060,2018-2019,23,0-0,Athletic - Las Palmas,Athletic,Las Palmas
7061,2018-2019,23,1-2,Villarreal - Alavés,Villarreal,Alavés
7062,2018-2019,23,0-1,Málaga - Atlético,Málaga,Atlético
7063,2018-2019,23,0-1,Leganés - Eibar,Leganés,Eibar
7064,2018-2019,23,5-2,Real Madrid - R. Sociedad,Real Madrid,R. Sociedad
7065,2018-2019,23,1-0,Sevilla - Girona,Sevilla,Girona
7066,2018-2019,23,0-0,Barcelona - Getafe,Barcelona,Getafe
7067,2018-2019,23,2-2,Celta - Espanyol,Celta,Espanyol
7068,2018-2019,23,3-1,Valencia - Levante,Valencia,Levante
7069,2018-2019,23,0-1,Deportivo - Real Betis,Deportivo,Real Betis
7070,2018-2019,24,3-0,Girona - Leganés,Girona,Leganés
7071,2018-2019,24,1-2,Las Palmas - Sevilla,Las Palmas,Sevilla
7072,2018-2019,24,0-2,Eibar - Barcelona,Eibar,Barcelona
7073,2018-2019,24,1-0,Alavés - Deportivo,Alavés,Deportivo
7074,2018-2019,24,1-2,Málaga - Valencia,Málaga,Valencia
7075,2018-2019,24,3-0,R. Sociedad - Levante,R. Sociedad,Levante
7076,2018-2019,24,2-0,Atlético - Athletic,Atlético,Athletic
7077,2018-2019,24,1-1,Espanyol - Villarreal,Espanyol,Villarreal
7078,2018-2019,24,3-5,Real Betis - Real Madrid,Real Betis,Real Madrid
7079,2018-2019,24,3-0,Getafe - Celta,Getafe,Celta
7080,2018-2019,25,0-0,Deportivo - Espanyol,Deportivo,Espanyol
7081,2018-2019,25,2-0,Celta - Eibar,Celta,Eibar
7082,2018-2019,25,4-0,Real Madrid - Alavés,Real Madrid,Alavés
7083,2018-2019,25,0-0,Leganés - Las Palmas,Leganés,Las Palmas
7084,2018-2019,25,6-1,Barcelona - Girona,Barcelona,Girona
7085,2018-2019,25,1-0,Villarreal - Getafe,Villarreal,Getafe
7086,2018-2019,25,2-1,Athletic - Málaga,Athletic,Málaga
7087,2018-2019,25,2-1,Valencia - R. Sociedad,Valencia,R. Sociedad
7088,2018-2019,25,2-5,Sevilla - Atlético,Sevilla,Atlético
7089,2018-2019,25,0-2,Levante - Real Betis,Levante,Real Betis
7090,2018-2019,26,1-0,Espanyol - Real Madrid,Espanyol,Real Madrid
7091,2018-2019,26,1-0,Girona - Celta,Girona,Celta
7092,2018-2019,26,3-0,Getafe - Deportivo,Getafe,Deportivo
7093,2018-2019,26,1-1,Athletic - Valencia,Athletic,Valencia
7094,2018-2019,26,0-1,Málaga - Sevilla,Málaga,Sevilla
7095,2018-2019,26,1-0,Eibar - Villarreal,Eibar,Villarreal
7096,2018-2019,26,4-0,Atlético - Leganés,Atlético,Leganés
7097,2018-2019,26,0-0,Real Betis - R. Sociedad,Real Betis,R. Sociedad
7098,2018-2019,26,1-1,Las Palmas - Barcelona,Las Palmas,Barcelona
7099,2018-2019,26,1-0,Alavés - Levante,Alavés,Levante
7100,2018-2019,27,0-2,Villarreal - Girona,Villarreal,Girona
7101,2018-2019,27,2-0,Sevilla - Athletic,Sevilla,Athletic
7102,2018-2019,27,1-1,Deportivo - Eibar,Deportivo,Eibar
7103,2018-2019,27,2-0,Leganés - Málaga,Leganés,Málaga
7104,2018-2019,27,3-1,Real Madrid - Getafe,Real Madrid,Getafe
7105,2018-2019,27,1-1,Levante - Espanyol,Levante,Espanyol
7106,2018-2019,27,1-0,Barcelona - Atlético,Barcelona,Atlético
7107,2018-2019,27,2-1,R. Sociedad - Alavés,R. Sociedad,Alavés
7108,2018-2019,27,2-0,Valencia - Real Betis,Valencia,Real Betis
7109,2018-2019,27,2-1,Celta - Las Palmas,Celta,Las Palmas
7110,2018-2019,28,2-0,Girona - Deportivo,Girona,Deportivo
7111,2018-2019,28,1-2,Eibar - Real Madrid,Eibar,Real Madrid
7112,2018-2019,28,0-2,Sevilla - Valencia,Sevilla,Valencia
7113,2018-2019,28,0-1,Getafe - Levante,Getafe,Levante
7114,2018-2019,28,0-2,Málaga - Barcelona,Málaga,Barcelona
7115,2018-2019,28,2-1,Espanyol - R. Sociedad,Espanyol,R. Sociedad
7116,2018-2019,28,3-0,Atlético - Celta,Atlético,Celta
7117,2018-2019,28,0-2,Las Palmas - Villarreal,Las Palmas,Villarreal
7118,2018-2019,28,2-0,Athletic - Leganés,Athletic,Leganés
7119,2018-2019,28,1-3,Alavés - Real Betis,Alavés,Real Betis
7120,2018-2019,29,2-1,Levante - Eibar,Levante,Eibar
7121,2018-2019,29,1-1,Deportivo - Las Palmas,Deportivo,Las Palmas
7122,2018-2019,29,3-1,Valencia - Alavés,Valencia,Alavés
7123,2018-2019,29,1-2,R. Sociedad - Getafe,R. Sociedad,Getafe
7124,2018-2019,29,3-0,Real Betis - Espanyol,Real Betis,Espanyol
7125,2018-2019,29,2-1,Leganés - Sevilla,Leganés,Sevilla
7126,2018-2019,29,2-0,Barcelona - Athletic,Barcelona,Athletic
7127,2018-2019,29,2-1,Villarreal - Atlético,Villarreal,Atlético
7128,2018-2019,29,0-0,Celta - Málaga,Celta,Málaga
7129,2018-2019,29,6-3,Real Madrid - Girona,Real Madrid,Girona
7130,2018-2019,30,1-1,Girona - Levante,Girona,Levante
7131,2018-2019,30,1-1,Athletic - Celta,Athletic,Celta
7132,2018-2019,30,0-3,Las Palmas - Real Madrid,Las Palmas,Real Madrid
7133,2018-2019,30,2-2,Sevilla - Barcelona,Sevilla,Barcelona
7134,2018-2019,30,0-0,Espanyol - Alavés,Espanyol,Alavés
7135,2018-2019,30,0-1,Leganés - Valencia,Leganés,Valencia
7136,2018-2019,30,1-0,Málaga - Villarreal,Málaga,Villarreal
7137,2018-2019,30,0-0,Eibar - R. Sociedad,Eibar,R. Sociedad
7138,2018-2019,30,1-0,Atlético - Deportivo,Atlético,Deportivo
7139,2018-2019,30,0-1,Getafe - Real Betis,Getafe,Real Betis
7140,2018-2019,31,3-2,Deportivo - Málaga,Deportivo,Málaga
7141,2018-2019,31,2-0,Alavés - Getafe,Alavés,Getafe
7142,2018-2019,31,4-0,Celta - Sevilla,Celta,Sevilla
7143,2018-2019,31,2-0,Real Betis - Eibar,Real Betis,Eibar
7144,2018-2019,31,3-1,Barcelona - Leganés,Barcelona,Leganés
7145,2018-2019,31,2-1,Levante - Las Palmas,Levante,Las Palmas
7146,2018-2019,31,1-1,Real Madrid - Atlético,Real Madrid,Atlético
7147,2018-2019,31,5-0,R. Sociedad - Girona,R. Sociedad,Girona
7148,2018-2019,31,1-0,Valencia - Espanyol,Valencia,Espanyol
7149,2018-2019,31,1-3,Villarreal - Athletic,Villarreal,Athletic
7150,2018-2019,32,0-1,Girona - Real Betis,Girona,Real Betis
7151,2018-2019,32,2-2,Sevilla - Villarreal,Sevilla,Villarreal
7152,2018-2019,32,2-1,Barcelona - Valencia,Barcelona,Valencia
7153,2018-2019,32,0-1,Las Palmas - R. Sociedad,Las Palmas,R. Sociedad
7154,2018-2019,32,1-0,Leganés - Celta,Leganés,Celta
7155,2018-2019,32,2-3,Athletic - Deportivo,Athletic,Deportivo
7156,2018-2019,32,0-1,Eibar - Alavés,Eibar,Alavés
7157,2018-2019,32,3-0,Atlético - Levante,Atlético,Levante
7158,2018-2019,32,1-0,Getafe - Espanyol,Getafe,Espanyol
7159,2018-2019,32,1-2,Málaga - Real Madrid,Málaga,Real Madrid
7160,2018-2019,33,0-0,Deportivo - Sevilla,Deportivo,Sevilla
7161,2018-2019,33,2-2,Celta - Barcelona,Celta,Barcelona
7162,2018-2019,33,2-1,Villarreal - Leganés,Villarreal,Leganés
7163,2018-2019,33,1-2,Valencia - Getafe,Valencia,Getafe
7164,2018-2019,33,0-1,Espanyol - Eibar,Espanyol,Eibar
7165,2018-2019,33,1-1,Real Madrid - Athletic,Real Madrid,Athletic
7166,2018-2019,33,1-2,Alavés - Girona,Alavés,Girona
7167,2018-2019,33,3-0,R. Sociedad - Atlético,R. Sociedad,Atlético
7168,2018-2019,33,1-0,Levante - Málaga,Levante,Málaga
7169,2018-2019,33,1-0,Real Betis - Las Palmas,Real Betis,Las Palmas
7170,2018-2019,34,0-0,Leganés - Deportivo,Leganés,Deportivo
7171,2018-2019,34,0-1,Eibar - Getafe,Eibar,Getafe
7172,2018-2019,34,1-1,Celta - Valencia,Celta,Valencia
7173,2018-2019,34,0-2,Girona - Espanyol,Girona,Espanyol
7174,2018-2019,34,2-0,Málaga - R. Sociedad,Málaga,R. Sociedad
7175,2018-2019,34,0-4,Las Palmas - Alavés,Las Palmas,Alavés
7176,2018-2019,34,0-0,Atlético - Real Betis,Atlético,Real Betis
7177,2018-2019,34,1-3,Athletic - Levante,Athletic,Levante
7178,2018-2019,34,5-1,Barcelona - Villarreal,Barcelona,Villarreal
7179,2018-2019,34,3-2,Sevilla - Real Madrid,Sevilla,Real Madrid
7180,2018-2019,35,2-1,Levante - Sevilla,Levante,Sevilla
7181,2018-2019,35,1-1,Espanyol - Las Palmas,Espanyol,Las Palmas
7182,2018-2019,35,3-1,R. Sociedad - Athletic,R. Sociedad,Athletic
7183,2018-2019,35,2-1,Real Madrid - Leganés,Real Madrid,Leganés
7184,2018-2019,35,4-1,Villarreal - Celta,Villarreal,Celta
7185,2018-2019,35,1-1,Getafe - Girona,Getafe,Girona
7186,2018-2019,35,0-1,Alavés - Atlético,Alavés,Atlético
7187,2018-2019,35,0-0,Valencia - Eibar,Valencia,Eibar
7188,2018-2019,35,2-4,Deportivo - Barcelona,Deportivo,Barcelona
7189,2018-2019,35,2-1,Real Betis - Málaga,Real Betis,Málaga
7190,2018-2019,36,1-0,Sevilla - R. Sociedad,Sevilla,R. Sociedad
7191,2018-2019,36,1-4,Girona - Eibar,Girona,Eibar
7192,2018-2019,36,2-0,Athletic - Real Betis,Athletic,Real Betis
7193,2018-2019,36,1-1,Celta - Deportivo,Celta,Deportivo
7194,2018-2019,36,1-0,Villarreal - Valencia,Villarreal,Valencia
7195,2018-2019,36,0-3,Málaga - Alavés,Málaga,Alavés
7196,2018-2019,36,0-2,Atlético - Espanyol,Atlético,Espanyol
7197,2018-2019,36,0-1,Las Palmas - Getafe,Las Palmas,Getafe
7198,2018-2019,36,2-2,Barcelona - Real Madrid,Barcelona,Real Madrid
7199,2018-2019,36,0-3,Leganés - Levante,Leganés,Levante
7200,2018-2019,37,3-2,R. Sociedad - Leganés,R. Sociedad,Leganés
7201,2018-2019,37,2-2,Real Betis - Sevilla,Real Betis,Sevilla
7202,2018-2019,37,3-1,Alavés - Athletic,Alavés,Athletic
7203,2018-2019,37,2-4,Deportivo - Villarreal,Deportivo,Villarreal
7204,2018-2019,37,0-1,Getafe - Atlético,Getafe,Atlético
7205,2018-2019,37,1-0,Eibar - Las Palmas,Eibar,Las Palmas
7206,2018-2019,37,0-1,Girona - Valencia,Girona,Valencia
7207,2018-2019,37,6-0,Real Madrid - Celta,Real Madrid,Celta
7208,2018-2019,37,4-1,Espanyol - Málaga,Espanyol,Málaga
7209,2018-2019,37,5-4,Levante - Barcelona,Levante,Barcelona
7210,2018-2019,38,4-2,Celta - Levante,Celta,Levante
7211,2018-2019,38,3-2,Leganés - Real Betis,Leganés,Real Betis
7212,2018-2019,38,1-2,Las Palmas - Girona,Las Palmas,Girona
7213,2018-2019,38,0-1,Málaga - Getafe,Málaga,Getafe
